id,brand,model,mileage,year,link,body_status,price
2963,پژو,206 ,119000,2017,https://bama.ir/car/detail-ftzdemt7-peugeot-206-ir-type5-1396,2,170000000
2964,رنو,ساندرو,55000,2017,https://bama.ir/car/detail-pbmvm7sg-renault-sandero-at-1396,1,325000000
2965,پژو,405,0,2021,https://bama.ir/car/detail-htk7jqia-peugeot-405-slx-1400,1,208000000
2966,سمند,LX,151000,2015,https://bama.ir/car/detail-2m3yogwx-samand-lx-basic-1394,10,118000000
2967,پژو,پارس,440000,2005,https://bama.ir/car/detail-f7p9b1e-peugeot-pars-mt-1384,4,82000000
2968,ب ام و,سری 7,6000,2017,https://bama.ir/car/detail-ufs582x-bmw-7-series-730li-2017,1,5700000000
2969,میتسوبیشی,میراژ,120000,2015,https://bama.ir/car/detail-n7z9b65-mitsubishi-mirage-2015,2,345000000
2970,هیوندای,آوانته,280000,2009,https://bama.ir/car/detail-spyqg7v7-hyundai-avante-mt-1388,3,266000000
2971,دنا,پلاس,0,2020,https://bama.ir/car/detail-9hux95-dena-plus-turbo-automatic-1399,1,418500000
2972,پورشه,باکستر,112000,2011,https://bama.ir/car/detail-3raj9sy-porsche-boxster-6cylinder-s-2011,1,3000000000
2973,سمند,LX,6300,2020,https://bama.ir/car/detail-72s2nb4-samand-lx-ef7-1399,1,195000000
2974,کیا,اسپورتیج,230000,2008,https://bama.ir/car/detail-og848x49-kia-sportage-6cylinder-2008,1,480000000
2975,ام وی ام,X22,1100,2020,https://bama.ir/car/detail-7dsozuc6-mvm-x22-at-sport-excellent-1399,1,445000000
2976,نیسان,ایکس تریل,1100,2018,https://bama.ir/car/detail-ot7wboz3-nissan-x-trail-2018,1,2250000000
2977,پراید,صندوق دار,400000,2004,https://bama.ir/car/detail-bkcwjwq2-pride-sedan-1383,2,43000000
2978,زوتی,آریو,0,2019,https://bama.ir/car/detail-aynpum54-zotye-Ario-1.6l-manual-1398,1,252000000
2979,سیتروئن,C3 (مونتاژ),20000,2018,https://bama.ir/car/detail-ww7nsqww-citroen-c3-ir-1397,1,775000000
2980,تویوتا,کریسیدا,175000,1991,https://bama.ir/car/detail-9qk967xn-toyota-cressida-1991,4,110000000
2981,سیتروئن,C3 (مونتاژ),18000,2018,https://bama.ir/car/detail-ncujg9-citroen-c3-ir-1397,1,780000000
2982,هیوندای,سانتافه (ix45),127000,2015,https://bama.ir/car/detail-heibxheo-hyundai-santafe-ix45-3500cc-2015,1,1040000000
